run_id,state_id,direction_id,h,pressure_scale,residual_scale,gradient_norm,scaled_norm_fd,scaled_norm_kd,scaled_absolute_error_l2,scaled_absolute_error_inf,nullspace_flag,classification,diagnostic_explanation
run1,LIMITER_OFF,D2,3.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999995411559E-01,1.00000000000000000E+00,5.24640984295177411E-12,3.98577823690598032E-12,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,1.00000000000000005E-04,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000123057E+00,1.00000000000000000E+00,1.28338706908240359E-12,8.67816211796820715E-13,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,2.99999999999999974E-04,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000016742E+00,1.00000000000000000E+00,1.67620197579738302E-13,8.75434601491227760E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,1.00000000000000002E-03,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000000400E+00,1.00000000000000000E+00,7.92964839391913599E-14,5.58455173134652680E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,3.00000000000000006E-03,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,9.99999999999967470E-01,1.00000000000000000E+00,3.52275665681200179E-14,2.49638305164942200E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D2,1.00000000000000002E-02,1.00000000000000000E+07,3.26433757646462919E+00,8.16496580927726068E+06,1.00000000000000000E+00,1.00000000000000000E+00,2.45254416782595580E-16,1.36042673114409912E-16,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D3,9.99999999999999955E-08,1.00000000000000000E+07,3.26433757646462919E+00,3.75850370392915048E+06,5.16517050367461428E-01,5.16517050172766279E-01,1.82996484190408685E-09,1.29104969533864111E-09,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D3,2.99999999999999986E-07,1.00000000000000000E+07,3.26433757646462919E+00,3.75850370392915048E+06,5.16517049707117981E-01,5.16517050172766279E-01,5.58369296849463838E-10,4.62621544571284135E-10,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D3,9.99999999999999955E-07,1.00000000000000000E+07,3.26433757646462919E+00,3.75850370392915048E+06,5.16517050166738101E-01,5.16517050172766279E-01,1.31772850897119178E-10,1.11748172549638569E-10,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D3,3.00000000000000008E-06,1.00000000000000000E+07,3.26433757646462919E+00,3.75850370392915048E+06,5.16517050167604408E-01,5.16517050172766279E-01,2.93891435789288128E-11,2.10530543058096254E-11,0,CONSISTENT_NUMERICALLY,NONE
