state_id,direction_id,h,norm_fd,norm_kpp_raw_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,branch_crossed,finite,classification
FINAL_CLIP_LOW,D3,1.00000000000000002E-03,4.56694674604151488E-02,4.56792650929353089E-02,1.00000000016313897E-05,2.18917707657647411E-04,7.55746577883048638E-06,9.99999999039762000E-01,-1.832330478206765,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,3.00000000000000006E-03,4.56694674604150308E-02,4.56792650929353089E-02,1.00000000003726597E-05,2.18917707630091491E-04,7.55746578522814572E-06,9.99999999039762222E-01,-0.45200152028320817,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D3,1.00000000000000002E-02,4.56694674604159120E-02,4.56792650929353089E-02,9.99999999972503698E-06,2.18917707615914003E-04,7.55746578332688879E-06,9.99999999039762222E-01,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,9.99999999999999955E-08,4.16666666666712093E-02,4.16766666666666605E-02,9.99999999554535460E-06,2.39942413713797203E-04,5.00003466149048781E-06,1.00000000000000000E+00,-0.9071945957407309,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,2.99999999999999986E-07,4.16666666796018728E-02,4.16766666666666605E-02,9.99998706479339422E-06,2.39942103450213389E-04,4.99999924845687116E-06,1.00000000000000000E+00,-1.5410720187448288,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,9.99999999999999955E-07,4.16666666647266329E-02,4.16766666666666605E-02,1.00000019400294401E-05,2.39942460370217792E-04,5.00000182456633580E-06,1.00000000000000000E+00,-0.18582113135874914,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,3.00000000000000008E-06,4.16666666647263831E-02,4.16766666666666605E-02,1.00000019402791404E-05,2.39942460376209093E-04,5.00000140076992117E-06,1.00000000000000000E+00,-1.0403718393812431,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,1.00000000000000008E-05,4.16666666662785512E-02,4.16766666666666605E-02,1.00000003881127504E-05,2.39942423133154207E-04,5.00000054173832531E-06,1.00000000000000000E+00,-0.9385462006522979,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,3.00000000000000008E-05,4.16666666668606619E-02,4.16766666666666605E-02,9.99999980600199678E-06,2.39942409165848190E-04,4.99999994071215204E-06,9.99999999999999889E-01,-0.9748727553794789,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,1.00000000000000005E-04,4.16666666666084470E-02,4.16766666666666605E-02,1.00000000582151794E-05,2.39942415217512107E-04,5.00000004634987283E-06,1.00000000000000000E+00,-1.831399760256273,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,2.99999999999999974E-04,4.16666666666731314E-02,4.16766666666666605E-02,9.99999999353601288E-06,2.39942413665584603E-04,5.00000000033806735E-06,1.00000000000000000E+00,-0.6521673104397626,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,1.00000000000000002E-03,4.16666666666666574E-02,4.16766666666666605E-02,1.00000000000013307E-05,2.39942413820714906E-04,5.00000000204850470E-06,1.00000000000000000E+00,-0.3600682764263419,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,3.00000000000000006E-03,4.16666666666647215E-02,4.16766666666666605E-02,1.00000000019407498E-05,2.39942413867249812E-04,5.00000000188544069E-06,1.00000000000000000E+00,-1.1748200470651802,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D1,1.00000000000000002E-02,4.16666666666660815E-02,4.16766666666666605E-02,1.00000000005824596E-05,2.39942413834658694E-04,5.00000000050113136E-06,1.00000000000000000E+00,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D2,9.99999999999999955E-08,2.60821306093764506E-02,2.60921306168404900E-02,1.00000109360480495E-05,3.83257737089273914E-04,5.00005971273802337E-06,9.99999999999949041E-01,-1.3192387177960763,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D2,2.99999999999999986E-07,2.60821306231396287E-02,2.60921306168404900E-02,9.99999719265077536E-06,3.83257210363516178E-04,5.00001380671771800E-06,9.99999999999948708E-01,-1.4768826537749162,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D2,9.99999999999999955E-07,2.60821306209393401E-02,2.60921306168404900E-02,9.99999940508531934E-06,3.83257295156689095E-04,5.00000141781357932E-06,9.99999999999948708E-01,-0.8667833004003342,0,1,APPROXIMATE_BOUNDED_BY_JNUM
I0,D2,3.00000000000000008E-06,2.60821306205093785E-02,2.60921306168404900E-02,9.99999983439168498E-06,3.83257311610169817E-04,5.00000074027048824E-06,9.99999999999948486E-01,-0.9381254005215482,0,1,APPROXIMATE_BOUNDED_BY_JNUM
